role,policy_id,vector_hash,GEOID,cost_delay,cost_drop,total_cost
historical_2019,historical_2019,,36005027900,2136.0,6600.0,8736.0
historical_2019,historical_2019,,36005028100,1202.0,4400.0,5602.0
historical_2019,historical_2019,,36005028300,1416.0,1200.0,2616.0
historical_2019,historical_2019,,36005028400,288.0,0.0,288.0
historical_2019,historical_2019,,36005028500,916.0,10800.0,11716.0
historical_2019,historical_2019,,36005028600,1436.0,8600.0,10036.0
historical_2019,historical_2019,,36005028700,10000.0,2000.0,12000.0
historical_2019,historical_2019,,36005028800,5872.0,4000.0,9872.0
historical_2019,historical_2019,,36005028900,974.0,400.0,1374.0
historical_2019,historical_2019,,36005029301,3934.0,7400.0,11334.0
historical_2019,historical_2019,,36005029302,2696.0,7800.0,10496.0
historical_2019,historical_2019,,36005029500,3284.0,6800.0,10084.0
historical_2019,historical_2019,,36005029600,968.0,800.0,1768.0
historical_2019,historical_2019,,36005029700,1710.0,6400.0,8110.0
historical_2019,historical_2019,,36005030000,4134.0,8400.0,12534.0
historical_2019,historical_2019,,36005030100,1200.0,4400.0,5600.0
historical_2019,historical_2019,,36005030201,16.0,0.0,16.0
historical_2019,historical_2019,,36005030701,3360.0,8200.0,11560.0
historical_2019,historical_2019,,36005030900,4578.0,11400.0,15978.0
historical_2019,historical_2019,,36005031000,4112.0,7000.0,11112.0
historical_2019,historical_2019,,36005031200,3212.0,5000.0,8212.0
historical_2019,historical_2019,,36005031400,2328.0,2400.0,4728.0
historical_2019,historical_2019,,36005031600,482.0,3200.0,3682.0
historical_2019,historical_2019,,36005031800,5212.0,1600.0,6812.0
historical_2019,historical_2019,,36005031900,0.0,1000.0,1000.0
historical_2019,historical_2019,,36005032300,4224.0,7800.0,12024.0
historical_2019,historical_2019,,36005032400,560.0,0.0,560.0
historical_2019,historical_2019,,36005032600,3766.0,5400.0,9166.0
historical_2019,historical_2019,,36005032800,946.0,0.0,946.0
historical_2019,historical_2019,,36005033000,400.0,1000.0,1400.0
historical_2019,historical_2019,,36005033201,2266.0,0.0,2266.0
historical_2019,historical_2019,,36005033202,1332.0,3800.0,5132.0
historical_2019,historical_2019,,36005033400,3600.0,7200.0,10800.0
historical_2019,historical_2019,,36005033500,1816.0,6400.0,8216.0
historical_2019,historical_2019,,36005033601,924.0,800.0,1724.0
historical_2019,historical_2019,,36005033700,2534.0,5400.0,7934.0
historical_2019,historical_2019,,36005033801,2060.0,800.0,2860.0
historical_2019,historical_2019,,36005033802,92.0,1000.0,1092.0
historical_2019,historical_2019,,36005034000,1224.0,2800.0,4024.0
historical_2019,historical_2019,,36005034200,1278.0,1000.0,2278.0
historical_2019,historical_2019,,36005034300,1036.0,3400.0,4436.0
historical_2019,historical_2019,,36005034400,588.0,800.0,1388.0
historical_2019,historical_2019,,36005034500,14484.0,4200.0,18684.0
historical_2019,historical_2019,,36005034800,760.0,3000.0,3760.0
historical_2019,historical_2019,,36005035000,588.0,5600.0,6188.0
historical_2019,historical_2019,,36005035100,2468.0,3400.0,5868.0
historical_2019,historical_2019,,36005035600,2174.0,3800.0,5974.0
historical_2019,historical_2019,,36005035800,7470.0,7800.0,15270.0
historical_2019,historical_2019,,36005035900,252.0,1400.0,1652.0
historical_2019,historical_2019,,36005036000,3656.0,5000.0,8656.0
historical_2019,historical_2019,,36005036100,74.0,1000.0,1074.0
historical_2019,historical_2019,,36005036300,1406.0,2800.0,4206.0
historical_2019,historical_2019,,36005036400,4336.0,2400.0,6736.0
historical_2019,historical_2019,,36005036501,484.0,400.0,884.0
