calendar_year,random_seed,display_role,policy_id,vector_hash,efficiency_loss,equity_loss,historical_efficiency_loss,historical_equity_loss,efficiency_ratio_historical,equity_ratio_historical
2019,326,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13364438.666666664,494.3073687319503,16419478,1160.1949292345921,0.81393809636741588,0.42605544661193834
2019,327,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13226359.333333334,528.0479897730291,16419478,1160.1949292345921,0.80552861262296727,0.45513730190270252
2019,328,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13301459.333333334,509.39459046511996,16419478,1160.1949292345921,0.81010244864869241,0.4390594870132552
2019,329,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13240330.666666666,526.4669759452484,16419478,1160.1949292345921,0.80637951259270646,0.45377458794150305
2019,330,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13304815.333333332,520.6893863844982,16419478,1160.1949292345921,0.81030684004286446,0.44879474411081011
2019,331,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13161057.333333334,512.1310158819263,16419478,1160.1949292345921,0.80155150689524568,0.44141807809812711
2019,332,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13236754.0,488.2935159021175,16419478,1160.1949292345921,0.80616168187563575,0.42087196176961078
2019,333,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13385850.666666668,527.9155311111251,16419478,1160.1949292345921,0.81524215731259353,0.45502313258635202
2019,334,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13280539.333333332,514.2412513425434,16419478,1160.1949292345921,0.80882835211529458,0.44323694095250049
2019,335,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13363038.666666666,494.0816836296732,16419478,1160.1949292345921,0.81385283178105094,0.42586092317747892
