arm_name,budget_group,search_mode,global_batch,observations,target_observations,endpoint_best_loss,hypervolume_pct_final,elapsed_hours
d100_median_borough_efficiency,borough,efficiency,47,3072,3200,14.920066000000002,99.92787772337736,134.44358820340713
d100_median_borough_efficiency,borough,efficiency,48,3136,3200,14.920066000000002,99.94246704093109,146.28473096315878
d100_median_borough_efficiency,borough,efficiency,49,3200,3200,14.897272,100.0,150.73990548897314
d100_median_borough_equity,borough,equity,0,64,3200,1995.255193607602,55.50551292781223,0.0
d100_median_borough_equity,borough,equity,1,128,3200,1951.624224575096,57.49462946095887,0.1763633317708607
d100_median_borough_equity,borough,equity,2,192,3200,1808.4813203586102,61.607510892843614,0.32088256029011164
d100_median_borough_equity,borough,equity,3,256,3200,1628.8122613811254,67.73736189691333,0.46646624530704384
d100_median_borough_equity,borough,equity,4,320,3200,1456.327950088621,72.99193153168324,0.6205191616309134
d100_median_borough_equity,borough,equity,5,384,3200,1232.800818501345,81.89446878377552,0.8150349851889122
d100_median_borough_equity,borough,equity,6,448,3200,1080.1379504451784,89.12993210682104,0.9796348425905065
d100_median_borough_equity,borough,equity,7,512,3200,1069.4869744658965,89.45738762305047,1.2122076179376906
d100_median_borough_equity,borough,equity,8,576,3200,1055.73511335147,90.60771371170188,1.3353565876275146
d100_median_borough_equity,borough,equity,9,640,3200,991.8023509480486,92.54942424109008,1.574942595107843
d100_median_borough_equity,borough,equity,10,704,3200,976.2861701432876,94.8865790374003,1.8413437296548445
d100_median_borough_equity,borough,equity,11,768,3200,949.9226808184558,95.72672319194005,2.2594565519037295
d100_median_borough_equity,borough,equity,12,832,3200,942.558761207076,95.95563403608169,2.6958788994521212
d100_median_borough_equity,borough,equity,13,896,3200,930.3919715454732,96.3415677392177,3.254467637303492
d100_median_borough_equity,borough,equity,14,960,3200,914.7721406782196,96.83500905336626,3.7014931137310083
d100_median_borough_equity,borough,equity,15,1024,3200,897.9641419329857,98.15747716721047,4.35055468051552
d100_median_borough_equity,borough,equity,16,1088,3200,884.9506127480986,98.89473104512139,4.951776584574383
d100_median_borough_equity,borough,equity,17,1152,3200,884.9506127480986,98.89473104512139,5.6302873308505195
d100_median_borough_equity,borough,equity,18,1216,3200,884.9506127480986,99.31674043405862,6.6221389340082855
d100_median_borough_equity,borough,equity,19,1280,3200,884.9506127480986,99.46659727534033,6.918294546430439
d100_median_borough_equity,borough,equity,20,1344,3200,884.9506127480986,99.46885104876092,7.184164551482148
d100_median_borough_equity,borough,equity,21,1408,3200,884.9506127480986,99.51151366912572,7.505017685752439
d100_median_borough_equity,borough,equity,22,1472,3200,884.9506127480986,99.61152942940058,7.994615635570759
d100_median_borough_equity,borough,equity,23,1536,3200,884.9506127480986,99.61510442912001,8.401049818415324
d100_median_borough_equity,borough,equity,24,1600,3200,884.9506127480986,99.61510442912001,8.806652515180305
d100_median_borough_equity,borough,equity,25,1664,3200,884.9506127480986,99.61510442912001,9.262599074996672
d100_median_borough_equity,borough,equity,26,1728,3200,884.9506127480986,99.61510442912001,9.715617042233806
d100_median_borough_equity,borough,equity,27,1792,3200,884.9506127480986,99.61510442912001,10.181901765961019
d100_median_borough_equity,borough,equity,28,1856,3200,884.9506127480986,99.61510442912001,10.783148328045176
d100_median_borough_equity,borough,equity,29,1920,3200,884.9506127480986,99.85235489956632,11.322280415587851
d100_median_borough_equity,borough,equity,30,1984,3200,884.9506127480986,99.85235489956632,11.911638294893136
d100_median_borough_equity,borough,equity,31,2048,3200,884.9506127480986,99.85235489956632,12.530494174434054
d100_median_borough_equity,borough,equity,32,2112,3200,884.9506127480986,99.85288892158502,13.196612175662302
d100_median_borough_equity,borough,equity,33,2176,3200,884.9506127480986,99.85288892158502,14.021812596782887
d100_median_borough_equity,borough,equity,34,2240,3200,884.9506127480986,99.85288892158502,14.902240984550057
d100_median_borough_equity,borough,equity,35,2304,3200,884.9506127480986,99.85288892158502,15.748028439057007
d100_median_borough_equity,borough,equity,36,2368,3200,884.9506127480986,99.85288892158502,16.7339131029509
d100_median_borough_equity,borough,equity,37,2432,3200,884.9506127480986,99.85537178010016,17.729296650249225
d100_median_borough_equity,borough,equity,38,2496,3200,884.9506127480986,99.86599087801036,18.95112516116532
d100_median_borough_equity,borough,equity,39,2560,3200,884.9506127480986,99.86599087801036,20.12505305553114
d100_median_borough_equity,borough,equity,40,2624,3200,884.9506127480986,100.0,21.78826869207305
d100_median_borough_equity,borough,equity,41,2688,3200,884.9506127480986,100.0,23.558385741769648
d100_median_borough_equity,borough,equity,42,2752,3200,884.9506127480986,100.0,25.826406204044016
d100_median_borough_equity,borough,equity,43,2816,3200,884.9506127480986,100.0,27.919076029286952
d100_median_borough_equity,borough,equity,44,2880,3200,884.9506127480986,100.0,29.967652175651942
d100_median_borough_equity,borough,equity,45,2944,3200,884.9506127480986,100.0,32.76927601523775
d100_median_borough_equity,borough,equity,46,3008,3200,884.9506127480986,100.0,35.472157591199114
d100_median_borough_equity,borough,equity,47,3072,3200,884.9506127480986,100.0,37.89773975712247
d100_median_borough_equity,borough,equity,48,3136,3200,884.9506127480986,100.0,39.33898287109255
d100_median_borough_equity,borough,equity,49,3200,3200,884.9506127480986,100.0,41.35419108471898
d100_median_borough_qnehvi,borough,qnehvi,0,64,3200,,27.089787661900907,0.0
d100_median_borough_qnehvi,borough,qnehvi,1,128,3200,,29.900568228172407,0.2309152048280359
d100_median_borough_qnehvi,borough,qnehvi,2,192,3200,,32.68954911780851,0.4961927825591475
d100_median_borough_qnehvi,borough,qnehvi,3,256,3200,,36.071465971926614,0.6913030341421836
d100_median_borough_qnehvi,borough,qnehvi,4,320,3200,,43.650866848475836,0.8835553904869206
d100_median_borough_qnehvi,borough,qnehvi,5,384,3200,,53.92731731040145,1.12570715253859
d100_median_borough_qnehvi,borough,qnehvi,6,448,3200,,60.993692079041594,1.3367885771408003
d100_median_borough_qnehvi,borough,qnehvi,7,512,3200,,64.83209401966171,1.7005793232180035
d100_median_borough_qnehvi,borough,qnehvi,8,576,3200,,70.00070180742863,2.0595592199191257
d100_median_borough_qnehvi,borough,qnehvi,9,640,3200,,77.33142044606687,2.4648313615960715
d100_median_borough_qnehvi,borough,qnehvi,10,704,3200,,83.39616319793812,2.97647621856637
d100_median_borough_qnehvi,borough,qnehvi,11,768,3200,,84.1567637727679,3.5918873615116658
d100_median_borough_qnehvi,borough,qnehvi,12,832,3200,,87.97237942613759,4.307069528602232
d100_median_borough_qnehvi,borough,qnehvi,13,896,3200,,90.85451261397355,5.213759865877251
d100_median_borough_qnehvi,borough,qnehvi,14,960,3200,,95.0619435163215,6.169934481213374
d100_median_borough_qnehvi,borough,qnehvi,15,1024,3200,,95.07517691779749,6.569546805859201
d100_median_borough_qnehvi,borough,qnehvi,16,1088,3200,,95.37539789311191,8.545952231346714
d100_median_borough_qnehvi,borough,qnehvi,17,1152,3200,,95.41626214600623,9.449379258493362
d100_median_borough_qnehvi,borough,qnehvi,18,1216,3200,,95.85533849731154,11.581956160349462
d100_median_borough_qnehvi,borough,qnehvi,19,1280,3200,,96.77176358793257,13.80904038238918
d100_median_borough_qnehvi,borough,qnehvi,20,1344,3200,,96.98458148354175,16.351131961385835
d100_median_borough_qnehvi,borough,qnehvi,21,1408,3200,,96.98880976439372,18.144274319361656
d100_median_borough_qnehvi,borough,qnehvi,22,1472,3200,,96.98880976439372,19.474801197783897
d100_median_borough_qnehvi,borough,qnehvi,23,1536,3200,,97.53080582526235,22.540790981361933
d100_median_borough_qnehvi,borough,qnehvi,24,1600,3200,,97.75453005660046,29.263973707923334
d100_median_borough_qnehvi,borough,qnehvi,25,1664,3200,,97.8514706932704,38.16229153485167
d100_median_borough_qnehvi,borough,qnehvi,26,1728,3200,,98.23604578596425,45.929324600292794
d100_median_borough_qnehvi,borough,qnehvi,27,1792,3200,,98.29281948461303,52.78211736401559
d100_median_borough_qnehvi,borough,qnehvi,28,1856,3200,,98.615260336162,62.69284236176282
d100_median_borough_qnehvi,borough,qnehvi,29,1920,3200,,99.11483794247042,75.66817782469754
d100_median_borough_qnehvi,borough,qnehvi,30,1984,3200,,99.58382965467403,97.90344573499364
d100_median_borough_qnehvi,borough,qnehvi,31,2048,3200,,99.83200509004672,120.80809108092582
d100_median_borough_qnehvi,borough,qnehvi,32,2112,3200,,99.94752293973654,142.02718258366167
d100_median_borough_qnehvi,borough,qnehvi,33,2176,3200,,99.99266542078506,149.09640413440587
d100_median_borough_qnehvi,borough,qnehvi,34,2240,3200,,99.99975563051822,153.91888794197115
d100_median_borough_qnehvi,borough,qnehvi,35,2304,3200,,100.00000000000001,179.5385350541453
d100_median_city_efficiency,city,efficiency,0,64,3200,22.53839666666667,63.188263864055585,0.0
d100_median_city_efficiency,city,efficiency,1,128,3200,21.97909333333333,64.93539152717678,0.1435656183555774
d100_median_city_efficiency,city,efficiency,2,192,3200,21.768003333333333,65.41451563747084,0.27281165979285205
d100_median_city_efficiency,city,efficiency,3,256,3200,21.401292,66.0007751129897,0.4025936536642257
d100_median_city_efficiency,city,efficiency,4,320,3200,20.680466666666668,67.21630886265291,0.5518014608403772
d100_median_city_efficiency,city,efficiency,5,384,3200,19.897769333333333,68.76881779182169,0.7432345657362344
d100_median_city_efficiency,city,efficiency,6,448,3200,17.055306666666667,75.20257177217584,0.915151943227328
d100_median_city_efficiency,city,efficiency,7,512,3200,16.875871333333333,78.81843049344363,1.1408784082200791
d100_median_city_efficiency,city,efficiency,8,576,3200,16.791928000000002,78.99718036655192,1.5113897541752603
d100_median_city_efficiency,city,efficiency,9,640,3200,16.715949333333334,81.02433614634204,1.7118011211563782
d100_median_city_efficiency,city,efficiency,10,704,3200,16.611835333333335,81.33632436871615,2.0290732470560924
d100_median_city_efficiency,city,efficiency,11,768,3200,16.542264,82.2538325683445,2.640441325625612
d100_median_city_efficiency,city,efficiency,12,832,3200,16.50176266666667,82.34076806566246,3.0321019752610785
d100_median_city_efficiency,city,efficiency,13,896,3200,16.483202666666667,82.38115976037415,3.483443276340582
d100_median_city_efficiency,city,efficiency,14,960,3200,16.480333333333334,82.64020231552792,4.217044011337501
d100_median_city_efficiency,city,efficiency,15,1024,3200,16.480333333333334,83.0516679004982,4.783194529906355
d100_median_city_efficiency,city,efficiency,16,1088,3200,16.462094666666665,83.0906804960979,5.3885280441557475
d100_median_city_efficiency,city,efficiency,17,1152,3200,16.443253333333335,83.1313770313507,5.926566552177925
d100_median_city_efficiency,city,efficiency,18,1216,3200,16.443253333333335,83.13311108585908,6.702676382726576
d100_median_city_efficiency,city,efficiency,19,1280,3200,16.43908066666667,83.1541043548336,7.700805348477119
d100_median_city_efficiency,city,efficiency,20,1344,3200,16.417049333333335,83.34013644225173,9.261658298986601
d100_median_city_efficiency,city,efficiency,21,1408,3200,16.35482666666667,83.47832822905322,10.996595768375554
d100_median_city_efficiency,city,efficiency,22,1472,3200,15.364519333333334,85.25377046078947,12.675704124168002
d100_median_city_efficiency,city,efficiency,23,1536,3200,15.242784666666669,85.66713978619353,13.41674399164169
d100_median_city_efficiency,city,efficiency,24,1600,3200,15.224442666666668,85.8591235109799,15.831144872826473
d100_median_city_efficiency,city,efficiency,25,1664,3200,15.20862,85.89000823871426,17.370010073489976
d100_median_city_efficiency,city,efficiency,26,1728,3200,15.194524666666668,85.94132367303357,18.626059821580483
d100_median_city_efficiency,city,efficiency,27,1792,3200,15.194524666666668,85.94132367303357,19.149621266180183
d100_median_city_efficiency,city,efficiency,28,1856,3200,15.072544666666667,86.28523597887256,21.537083922328247
d100_median_city_efficiency,city,efficiency,29,1920,3200,15.060005333333336,86.30689932682706,23.1478132519752
d100_median_city_efficiency,city,efficiency,30,1984,3200,15.029206,86.35664845184165,26.16842615353047
d100_median_city_efficiency,city,efficiency,31,2048,3200,14.969653999999997,86.72726116470425,29.874980974827196
d100_median_city_efficiency,city,efficiency,32,2112,3200,14.885518666666668,86.88878964451824,32.221336772201404
d100_median_city_efficiency,city,efficiency,33,2176,3200,14.875467333333331,89.5224717457558,35.00242260737616
d100_median_city_efficiency,city,efficiency,34,2240,3200,14.870088666666664,92.27812299757252,45.20013091826785
d100_median_city_efficiency,city,efficiency,35,2304,3200,14.795030000000002,92.42771842462308,48.411394426580905
d100_median_city_efficiency,city,efficiency,36,2368,3200,14.538318666666669,92.93758419998345,56.13120456254782
d100_median_city_efficiency,city,efficiency,37,2432,3200,14.244183333333334,93.69218033605863,60.46458981461758
d100_median_city_efficiency,city,efficiency,38,2496,3200,14.221796,97.2679670273959,63.54661496577707
d100_median_city_efficiency,city,efficiency,39,2560,3200,14.175494666666667,97.3650376544253,73.61581747520327
d100_median_city_efficiency,city,efficiency,40,2624,3200,14.022370000000002,97.67588626039979,88.53292506008331
d100_median_city_efficiency,city,efficiency,41,2688,3200,14.017295333333331,97.73865464651546,92.46258080908174
d100_median_city_efficiency,city,efficiency,42,2752,3200,14.017295333333331,97.7417458360958,98.70208900749554
d100_median_city_efficiency,city,efficiency,43,2816,3200,14.017295333333331,97.7488752920418,106.36656748720134
d100_median_city_efficiency,city,efficiency,44,2880,3200,13.991378666666666,99.19795097372742,122.85063072297883
d100_median_city_efficiency,city,efficiency,45,2944,3200,13.836542,99.45870522181391,126.85219669762553
d100_median_city_efficiency,city,efficiency,46,3008,3200,13.736903999999996,99.69861442351124,133.2035270954786
d100_median_city_efficiency,city,efficiency,47,3072,3200,13.667593333333334,99.88993304442141,138.8952086006494
d100_median_city_efficiency,city,efficiency,48,3136,3200,13.647437999999998,99.98342188313774,146.586961410808
d100_median_city_efficiency,city,efficiency,49,3200,3200,13.647437999999998,100.0,157.45848485221634
d100_median_city_equity,city,equity,0,64,3200,1780.2901718717078,59.10045474649185,0.0
d100_median_city_equity,city,equity,1,128,3200,1723.6440636567681,61.231856531725555,0.07022084508479262
d100_median_city_equity,city,equity,2,192,3200,1527.6074867365248,66.4593899848159,0.13715544979644215
d100_median_city_equity,city,equity,3,256,3200,1491.514526859526,67.42866019826643,0.20063033689951731
d100_median_city_equity,city,equity,4,320,3200,1479.2362855461224,67.75555206131045,0.2720858948289727
d100_median_city_equity,city,equity,5,384,3200,1424.231854970405,69.26387241298488,0.405198183679798
d100_median_city_equity,city,equity,6,448,3200,1288.8191093855262,73.12848348349479,0.5210279654376467
d100_median_city_equity,city,equity,7,512,3200,1262.080629526163,74.06588132573695,0.6452172404209462
d100_median_city_equity,city,equity,8,576,3200,1195.4551344261274,76.07606279139266,0.8003706424270705
d100_median_city_equity,city,equity,9,640,3200,1177.3895934508867,77.15788113031505,1.0964192323496618
d100_median_city_equity,city,equity,10,704,3200,1061.7220881367052,80.29795712839531,1.2758290017497105
d100_median_city_equity,city,equity,11,768,3200,1032.4253840508416,81.82364185081308,1.4243433361105984
d100_median_city_equity,city,equity,12,832,3200,933.4876124713505,84.5299505309181,1.8047595233349905
d100_median_city_equity,city,equity,13,896,3200,872.9900390313095,86.20522384384886,2.0063725899284086
d100_median_city_equity,city,equity,14,960,3200,839.0667803106654,87.70041725832183,2.2341353788464846
d100_median_city_equity,city,equity,15,1024,3200,757.710016857781,89.93551030523183,2.7942114904581103
d100_median_city_equity,city,equity,16,1088,3200,665.9193716658656,92.49296604200573,3.0878097067164103
d100_median_city_equity,city,equity,17,1152,3200,623.2584033406788,93.65712347286005,3.907528994351677
d100_median_city_equity,city,equity,18,1216,3200,608.5123203364562,94.05948325096385,4.3173201772088134
d100_median_city_equity,city,equity,19,1280,3200,584.9358919700535,94.70621311942546,5.3782021843854135
d100_median_city_equity,city,equity,20,1344,3200,557.7955783446796,95.4455364487374,5.786279651250225
d100_median_city_equity,city,equity,21,1408,3200,540.5594648365579,95.94200828757477,6.786475801697751
d100_median_city_equity,city,equity,22,1472,3200,530.0740697415231,96.23640971020178,7.79509750828134
d100_median_city_equity,city,equity,23,1536,3200,523.490933980692,96.41725984556709,8.354551090460477
d100_median_city_equity,city,equity,24,1600,3200,515.177131389895,96.6790592890402,9.317218294371076
d100_median_city_equity,city,equity,25,1664,3200,515.177131389895,96.75287226321171,10.745141791524494
d100_median_city_equity,city,equity,26,1728,3200,485.21113358557136,97.5798837625692,12.189384018450898
d100_median_city_equity,city,equity,27,1792,3200,464.2451650069969,99.02777178498889,13.094923297683708
d100_median_city_equity,city,equity,28,1856,3200,464.2451650069969,99.03378983378032,14.533664437054604
d100_median_city_equity,city,equity,29,1920,3200,464.2451650069969,99.26145429723455,16.767820159391267
d100_median_city_equity,city,equity,30,1984,3200,464.2451650069969,99.26205559164808,19.288239130623275
d100_median_city_equity,city,equity,31,2048,3200,464.2451650069969,100.0,27.143406570041293
d100_median_city_equity,city,equity,32,2112,3200,464.2451650069969,100.0,27.537769195847602
d100_median_city_equity,city,equity,33,2176,3200,464.2451650069969,100.0,27.959728704073157
d100_median_city_equity,city,equity,34,2240,3200,464.2451650069969,100.0,28.455514329191193
d100_median_city_equity,city,equity,35,2304,3200,464.2451650069969,100.0,29.04017464585098
d100_median_city_equity,city,equity,36,2368,3200,464.2451650069969,100.0,29.629454318646264
d100_median_city_equity,city,equity,37,2432,3200,464.2451650069969,100.0,30.126637039315344
d100_median_city_equity,city,equity,38,2496,3200,464.2451650069969,100.0,30.637067125287526
d100_median_city_equity,city,equity,39,2560,3200,464.2451650069969,100.0,31.17403774492973
d100_median_city_equity,city,equity,40,2624,3200,464.2451650069969,100.0,31.775197463592306
d100_median_city_equity,city,equity,41,2688,3200,464.2451650069969,100.0,32.46478733785515
d100_median_city_equity,city,equity,42,2752,3200,464.2451650069969,100.0,33.18093671559679
d100_median_city_equity,city,equity,43,2816,3200,464.2451650069969,100.0,34.044613119644865
d100_median_city_equity,city,equity,44,2880,3200,464.2451650069969,100.0,34.89467513165462
d100_median_city_equity,city,equity,45,2944,3200,464.2451650069969,100.0,36.05522195696494
d100_median_city_equity,city,equity,46,3008,3200,464.2451650069969,100.0,36.90323612935906
d100_median_city_equity,city,equity,47,3072,3200,464.2451650069969,100.0,37.81228538278969
d100_median_city_equity,city,equity,48,3136,3200,464.2451650069969,100.0,38.818136630399906
d100_median_city_equity,city,equity,49,3200,3200,464.2451650069969,100.0,40.231521047672075
d100_median_city_qnehvi,city,qnehvi,0,64,3200,,44.13487764183177,0.0
d100_median_city_qnehvi,city,qnehvi,1,128,3200,,47.96372725031538,0.1767759047897218
d100_median_city_qnehvi,city,qnehvi,2,192,3200,,52.294274643062884,0.41681269494416484
d100_median_city_qnehvi,city,qnehvi,3,256,3200,,54.32372415971475,0.49338808337472073
d100_median_city_qnehvi,city,qnehvi,4,320,3200,,58.440852387519975,0.5896177613211108
d100_median_city_qnehvi,city,qnehvi,5,384,3200,,64.84251429078282,0.7092921869438882
d100_median_city_qnehvi,city,qnehvi,6,448,3200,,76.91850956548184,0.8336925859391664
d100_median_city_qnehvi,city,qnehvi,7,512,3200,,83.74734138563554,0.9712442339725001
d100_median_city_qnehvi,city,qnehvi,8,576,3200,,84.95894223201213,1.2433372705502774
d100_median_city_qnehvi,city,qnehvi,9,640,3200,,86.2992074479369,1.5929020113166674
d100_median_city_qnehvi,city,qnehvi,10,704,3200,,86.9157657591547,2.2307521292350003
d100_median_city_qnehvi,city,qnehvi,11,768,3200,,87.5402633445398,3.2411920455697225
