role,policy_id,vector_hash,budget_group,display_role,paper_role,borough,category,borough_budget_share,inspection_priority_weight,per_review_retention_probability
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Brooklyn,Illegal Tree Damage,0.3416309626311456,0.3035060435590915,0.26274096328346275
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Brooklyn,Other,0.3416309626311456,0.335782800891677,0.19343192077885296
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Brooklyn,Prune,0.3416309626311456,0.0002261533767765517,0.14067670132135976
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Brooklyn,Remove Tree,0.3416309626311456,0.03798930210108348,0.16149379902626218
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Brooklyn,Root/Sewer/Sidewalk,0.3416309626311456,0.1550052219872757,0.6418046048643982
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Manhattan,Hazard,0.0822725862471489,0.22423741991400784,0.5110672480565901
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Manhattan,Illegal Tree Damage,0.0822725862471489,0.15566918939726157,0.8639076269688637
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Manhattan,Other,0.0822725862471489,0.14327195894832984,0.6639944912228871
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Manhattan,Prune,0.0822725862471489,0.00023510421342661444,0.31347779226453865
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Manhattan,Remove Tree,0.0822725862471489,0.13523850994307526,0.4474858204643506
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Manhattan,Root/Sewer/Sidewalk,0.0822725862471489,0.3413478175838989,0.8987274417825737
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Queens,Hazard,0.35432917809563647,0.4847036205055776,0.14661308549154367
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Queens,Illegal Tree Damage,0.35432917809563647,0.3543073530359238,0.14213969489508607
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Queens,Other,0.35432917809563647,0.11089193270086314,0.49368713188297253
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Queens,Prune,0.35432917809563647,0.0002423518102527888,0.2133021376946241
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Queens,Remove Tree,0.35432917809563647,0.049612390137129835,0.1
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Queens,Root/Sewer/Sidewalk,0.35432917809563647,0.0002423518102527888,0.1
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Staten Island,Hazard,0.11071715945172791,0.4686331946179235,0.1378576814166652
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Staten Island,Illegal Tree Damage,0.11071715945172791,0.3439598912922852,0.4023523061116396
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Staten Island,Other,0.11071715945172791,0.14708940520257419,0.6974382325944856
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Staten Island,Prune,0.11071715945172791,0.0002878878960255295,0.28099983860686695
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Staten Island,Remove Tree,0.11071715945172791,0.039741733095166,0.2976390338030739
