setting_id,budget_group,policy_id,efficiency_ratio_historical,equity_ratio_historical
d100_delay_median_cap1,borough,search_arm0_index281,1.3713069725277907,3.3459757151186444
d100_delay_median_cap1,borough,search_arm0_index282,1.4694618996616906,2.037142413316809
d100_delay_median_cap1,borough,search_arm0_index283,1.5384390823305507,1.827352628149948
d100_delay_median_cap1,borough,search_arm0_index284,1.4050235539359617,2.1638550298201737
d100_delay_median_cap1,borough,search_arm0_index285,1.4680978286885855,1.8285275262797427
d100_delay_median_cap1,borough,search_arm0_index286,1.4170063952906016,1.8052913217488697
d100_delay_median_cap1,borough,search_arm0_index287,1.535917361887712,1.869852463091585
d100_delay_median_cap1,borough,search_arm0_index288,1.5902268431838493,1.8158398004237224
d100_delay_median_cap1,borough,search_arm0_index289,1.5684563987559974,1.908360942541838
d100_delay_median_cap1,borough,search_arm0_index290,1.4741628205232833,2.0234922038237984
d100_delay_median_cap1,borough,search_arm0_index291,1.4490035148092606,2.0570468531185586
d100_delay_median_cap1,borough,search_arm0_index292,1.5929691958944534,1.8342143744191413
d100_delay_median_cap1,borough,search_arm0_index293,1.462466914802854,1.9804454914705303
d100_delay_median_cap1,borough,search_arm0_index294,1.401244140242055,1.8313064432728432
d100_delay_median_cap1,borough,search_arm0_index295,1.440415543864021,1.9540080071348518
d100_delay_median_cap1,borough,search_arm0_index296,1.4204154358622119,1.699992173806153
d100_delay_median_cap1,borough,search_arm0_index297,1.5247169652206158,1.925115549295637
d100_delay_median_cap1,borough,search_arm0_index298,1.4121420506384756,3.2152126151698357
d100_delay_median_cap1,borough,search_arm0_index299,1.430190533462757,1.9995650109194667
d100_delay_median_cap1,borough,search_arm0_index300,1.5367110939824031,1.8529118050887878
d100_delay_median_cap1,borough,search_arm0_index301,1.4954977253235455,2.032376548648383
d100_delay_median_cap1,borough,search_arm0_index302,1.4519482288048375,1.815427511156641
d100_delay_median_cap1,borough,search_arm0_index303,1.4402074982732904,2.0057290853683654
d100_delay_median_cap1,borough,search_arm0_index304,1.4391063670436621,2.0221661423728206
d100_delay_median_cap1,borough,search_arm0_index305,1.5591747394974023,1.811719591989798
d100_delay_median_cap1,borough,search_arm0_index306,1.490895183553744,2.0188877763070012
d100_delay_median_cap1,borough,search_arm0_index307,1.4817427204445839,2.026907047499386
d100_delay_median_cap1,borough,search_arm0_index308,1.4750625649203548,1.8690311192727274
d100_delay_median_cap1,borough,search_arm0_index309,1.4650825074950617,2.032915602582402
d100_delay_median_cap1,borough,search_arm0_index310,1.4609144090938824,2.055757832082343
d100_delay_median_cap1,borough,search_arm0_index311,1.4316697928318225,1.8547019930471718
d100_delay_median_cap1,borough,search_arm0_index312,1.4655907250319815,2.062697713939756
d100_delay_median_cap1,borough,search_arm0_index313,1.4865284998707022,2.027713828343767
d100_delay_median_cap1,borough,search_arm0_index314,1.416007256747139,1.9024650108203487
d100_delay_median_cap1,borough,search_arm0_index315,1.400122180092043,1.9681984056703936
d100_delay_median_cap1,borough,search_arm0_index316,1.4629811008608191,2.061340860429669
d100_delay_median_cap1,borough,search_arm0_index317,1.4684887465159775,2.059372132481495
d100_delay_median_cap1,borough,search_arm0_index318,1.4355700792274473,1.780908132810447
d100_delay_median_cap1,borough,search_arm0_index319,1.4591277099876945,1.746850329978074
d100_delay_median_cap1,borough,search_arm0_index320,1.3996482307984046,1.5932795397996704
d100_delay_median_cap1,borough,search_arm0_index321,1.376073344109965,1.9307721717480624
d100_delay_median_cap1,borough,search_arm0_index322,1.5272038489895967,1.6895246307758072
d100_delay_median_cap1,borough,search_arm0_index323,1.4339304818338316,1.7454432815683425
d100_delay_median_cap1,borough,search_arm0_index324,1.318263223715151,1.647130201659976
d100_delay_median_cap1,borough,search_arm0_index325,1.4318764985504817,1.535280284829299
d100_delay_median_cap1,borough,search_arm0_index326,1.3518662408147202,1.6066930357796985
d100_delay_median_cap1,borough,search_arm0_index327,1.4087950502039919,1.5054155613667677
d100_delay_median_cap1,borough,search_arm0_index328,1.454502593403599,1.8419326872560795
d100_delay_median_cap1,borough,search_arm0_index329,1.5462398581327206,1.8373887243086147
d100_delay_median_cap1,borough,search_arm0_index330,1.4101175851428813,2.0997794295301677
d100_delay_median_cap1,borough,search_arm0_index331,1.3567256320004002,1.7288924561454144
d100_delay_median_cap1,borough,search_arm0_index332,1.3805470145478034,1.9838863441792052
d100_delay_median_cap1,borough,search_arm0_index333,1.3688245549990485,1.7297514623190278
d100_delay_median_cap1,borough,search_arm0_index334,1.3802237399589279,1.7878130422622571
